Location,Test,timestamp,Deployment,Command,Tps
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,"SET","78064.01"
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,"GET","78247.26"
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,"INCR","79491.26"
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,"LPUSH","79491.26"
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,"LPOP","70821.53"
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,"SADD","59844.41"
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,"SPOP","69492.70"
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,"LPUSH (needed to benchmark LRANGE)","70422.54"
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,"LRANGE_100 (first 100 elements)","42698.55"
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,"LRANGE_300 (first 300 elements)","17537.71"
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,"LRANGE_500 (first 450 elements)","13044.61"
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,"LRANGE_600 (first 600 elements)","10329.51"
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,"MSET (10 keys)","73583.52"
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,"PING_INLINE","67750.68"
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,"PING_BULK","62266.50"
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,"SET","64724.92"
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,"GET","69541.03"
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,"INCR","58309.04"
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,"LPUSH","61804.70"
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,"LPOP","60313.63"
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,"SADD","60716.46"
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,"SPOP","57971.02"
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,"LPUSH (needed to benchmark LRANGE)","57045.07"
Remote,ovs2.5.0,20160517_17-47,kvmBridgeOvsbr0,"LRANGE_100 (first 100 elements)","39108.33"
